"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"64","Tb927_05_v5.1",1161548,1161948,1627.69039816711,1189.37512222527,823.860729480789,1056.97712904707,1375.17638123358,993.609752018928,1025.53834756153,1877.09440204394,4878.14727279207,2978.30881101368,4644.55079778362,5938.76742447576,6648.59111123672,5824.82475342206,3478.30797890197,6773.97739727325,1185.4530201084,4899.64869218016,4838.51142601233,4423.77710723209
"65","Tb927_05_v5.1",1387425,1387825,1345.16712342661,1090.33766068589,717.154244465855,762.557672610265,1193.73474764586,693.42172100643,687.84589046654,1358.27781813475,3924.49600636068,3092.64973428843,3397.60524731306,5077.20845754251,5344.12070333584,4489.87284720558,4033.76792087863,5823.68634092083,1012.02666983299,4395.21946686268,4064.673476215,4022.47648123485
"66","Tb927_05_v5.1",1395344,1395744,1370.61967070053,889.485986349012,856.360166541176,527.924542576338,1481.77334096637,496.3838549281,634.886741291127,1234.57421983611,2820.53414296859,2666.13994112071,2801.12820049004,4078.96723025798,4337.86723300558,3456.70937653516,2704.52554636229,3670.81456723746,709.369716610407,3257.51885265265,3149.71709611082,3543.04652982222
"67","Tb927_05_v5.1",1397702,1398102,198.529868736567,145.316649174604,109.956428720973,94.1916651818893,192.025728880335,114.517734130995,144.547324808186,205.5572230435,487.562104427172,306.724064022737,411.363480567605,649.624675602081,739.138912751688,623.593451000775,637.145227561463,633.527370901616,129.790042786762,532.385543829053,541.339552324593,516.127058804707
"68","Tb927_05_v5.1",1399358,1399758,250.7075906481,251.758780735621,217.204571020248,165.822452475901,341.715076590203,310.713558046597,316.508797424821,374.187998833677,706.080871437277,457.363693098992,497.492709311447,972.133379801696,1013.57167738722,631.292135581032,1229.73484480394,894.226687246086,249.510168460758,695.261486461685,644.286603941876,584.786162957627
"69","Tb927_05_v5.1",1405727,1406127,281.250647376803,317.475227177639,251.328979933653,232.37704224514,345.495110623281,390.707563505748,369.467946600234,478.812932718093,982.702894415388,586.224098694344,587.478470685611,1222.46156448997,1320.93637377901,894.587148225804,1439.14621330316,1124.09060058207,358.600937182391,906.757113462268,891.822211201413,748.147479735263
"70","Tb927_05_v5.1",1429099,1429499,575.227568390565,437.801115029223,505.366246289005,465.318106437477,672.090051081174,333.44869644025,423.673193403304,616.671669130501,1845.40993411424,1406.57484980841,1586.32042193883,2116.27140184319,2292.42836058877,1873.85982683443,1844.60226720591,2103.81545071532,490.628739327545,822.888157927554,799.285535590371,841.665914702171
"71","Tb927_05_v5.1",144225,144625,549.775021116646,557.201419128101,553.573744595244,358.153936470058,721.986500317796,582.69317660771,611.833935179477,826.536977686888,2413.81135119255,1508.21122605263,1325.36171395375,2772.0391003824,2916.30551219354,1689.09139690827,2995.62220044632,1834.7064790049,584.614632380028,1108.52880358926,1102.34314821653,1023.96767400475
"72","Tb927_05_v5.1",148333,148733,1488.97401552425,1087.56090942777,702.529497788681,892.282720465562,1419.02477601728,969.611550381182,957.626026854233,1998.33623719235,3809.55260868484,2477.38667095288,3996.65331588964,5909.58806552437,6564.43173008182,5603.10263751067,3429.29680755109,5443.85024022539,1170.90758427885,4947.05288443891,4970.37618875807,4505.4577656209
"73","Tb927_05_v5.1",164452,164852,1406.25323688401,1561.45979081247,1305.93571254318,1093.63855561487,1679.09111749301,1817.96902932955,1821.79473163421,2154.65819723142,6459.56632652994,3829.51346205902,3531.29837849753,6804.93365861187,7279.78646989843,4705.43601545276,5842.72569982936,4658.94907273666,1507.69036771691,3302.492060693,3290.83552641766,2899.07148397414
